,precision,recall,f1-score,support
AMAZON,0.7331319234642497,0.728,0.7305569493226292,1000.0
GMAIL,0.8259187620889749,0.854,0.839724680432645,1000.0
GOOGLE,0.5631578947368421,0.535,0.5487179487179488,1000.0
HTTP,0.7718120805369127,0.805,0.7880567792462065,1000.0
HTTP_CONNECT,0.5980735551663747,0.683,0.6377217553688141,1000.0
HTTP_PROXY,0.6082698585418934,0.559,0.5825951016154247,1000.0
MICROSOFT,0.6889763779527559,0.7,0.6944444444444444,1000.0
SSL,0.8131115459882583,0.831,0.8219584569732937,1000.0
WINDOWS_UPDATE,0.9065989847715736,0.893,0.8997481108312343,1000.0
YOUTUBE,0.6049107142857143,0.542,0.5717299578059072,1000.0
accuracy,0.713,0.713,0.713,0.713
macro avg,0.711396169753355,0.7129999999999999,0.7115254184758548,10000.0
weighted avg,0.711396169753355,0.713,0.7115254184758548,10000.0
