,precision,recall,f1-score,support
AMAZON,0.5185185185185185,0.574,0.5448504983388704,1000.0
GMAIL,0.523,0.523,0.523,1000.0
GOOGLE,0.37331838565022424,0.333,0.35200845665961944,1000.0
HTTP,0.7020648967551623,0.714,0.7079821517104611,1000.0
HTTP_CONNECT,0.547867298578199,0.578,0.5625304136253041,1000.0
HTTP_PROXY,0.45521472392638035,0.371,0.40881542699724516,1000.0
MICROSOFT,0.4790307548928239,0.514,0.49589966232513266,1000.0
SSL,0.5396825396825397,0.544,0.5418326693227091,1000.0
WINDOWS_UPDATE,0.7054545454545454,0.776,0.7390476190476191,1000.0
YOUTUBE,0.4255091103965702,0.397,0.4107604759441283,1000.0
accuracy,0.5324,0.5324,0.5324,0.5324
macro avg,0.5269660773854963,0.5324,0.5286727373971088,10000.0
weighted avg,0.5269660773854964,0.5324,0.5286727373971088,10000.0
