,precision,recall,f1-score,support
AMAZON,0.8110647181628392,0.777,0.7936670071501533,1000.0
GMAIL,0.8527131782945736,0.88,0.8661417322834646,1000.0
GOOGLE,0.6418918918918919,0.57,0.6038135593220338,1000.0
HTTP,0.8038277511961722,0.84,0.8215158924205379,1000.0
HTTP_CONNECT,0.6709401709401709,0.785,0.7235023041474654,1000.0
HTTP_PROXY,0.6944162436548224,0.684,0.6891687657430731,1000.0
MICROSOFT,0.8195488721804511,0.763,0.7902641118591404,1000.0
SSL,0.8121546961325967,0.882,0.8456375838926175,1000.0
WINDOWS_UPDATE,0.9371833839918946,0.925,0.9310518369401107,1000.0
YOUTUBE,0.7015250544662309,0.644,0.6715328467153284,1000.0
accuracy,0.775,0.775,0.775,0.775
macro avg,0.7745265960911644,0.775,0.7736295640473926,10000.0
weighted avg,0.7745265960911644,0.775,0.7736295640473925,10000.0
