,precision,recall,f1-score,support
AMAZON,0.6259124087591241,0.686,0.6545801526717557,1000.0
GMAIL,0.5723622782446312,0.613,0.5919845485272816,1000.0
GOOGLE,0.40398126463700235,0.345,0.37216828478964403,1000.0
HTTP,0.7377551020408163,0.723,0.7303030303030303,1000.0
HTTP_CONNECT,0.6185468451242829,0.647,0.6324535679374389,1000.0
HTTP_PROXY,0.5764294049008168,0.494,0.5320409262250942,1000.0
MICROSOFT,0.6224299065420561,0.666,0.6434782608695652,1000.0
SSL,0.60625,0.582,0.5938775510204082,1000.0
WINDOWS_UPDATE,0.8197945845004668,0.878,0.8478995654273298,1000.0
YOUTUBE,0.5346733668341709,0.532,0.5333333333333333,1000.0
accuracy,0.6166,0.6166,0.6166,0.6166
macro avg,0.6118135161583368,0.6166,0.6132119221104881,10000.0
weighted avg,0.6118135161583368,0.6166,0.613211922110488,10000.0
