,precision,recall,f1-score,support
AMAZON,0.7703252032520326,0.758,0.7641129032258065,1000.0
GMAIL,0.7051526717557252,0.739,0.7216796875,1000.0
GOOGLE,0.5423340961098398,0.474,0.5058697972251868,1000.0
HTTP,0.7850098619329389,0.796,0.7904667328699106,1000.0
HTTP_CONNECT,0.6575463371579876,0.745,0.6985466479137366,1000.0
HTTP_PROXY,0.6541200406917599,0.643,0.64851235501765,1000.0
MICROSOFT,0.7710970464135021,0.731,0.7505133470225873,1000.0
SSL,0.77447216890595,0.807,0.7904015670910872,1000.0
WINDOWS_UPDATE,0.918,0.918,0.918,1000.0
YOUTUBE,0.6529774127310062,0.636,0.6443768996960486,1000.0
accuracy,0.7247,0.7247,0.7247,0.7247
macro avg,0.7231034838950743,0.7247,0.7232479937562013,10000.0
weighted avg,0.7231034838950743,0.7247,0.7232479937562014,10000.0
