,precision,recall,f1-score,support
AMAZON,0.45768880800727935,0.503,0.47927584564078135,1000.0
GMAIL,0.8040201005025126,0.8,0.8020050125313283,1000.0
GOOGLE,0.41041162227602906,0.339,0.37130339539978097,1000.0
HTTP,0.6541666666666667,0.628,0.6408163265306123,1000.0
HTTP_CONNECT,0.37543554006968644,0.431,0.40130353817504655,1000.0
HTTP_PROXY,0.2986811481768813,0.385,0.3363914373088685,1000.0
MICROSOFT,0.528,0.396,0.45257142857142857,1000.0
SSL,0.48582230623818523,0.514,0.49951409135082603,1000.0
WINDOWS_UPDATE,0.6186895810955961,0.576,0.5965820818228897,1000.0
YOUTUBE,0.3125,0.295,0.30349794238683125,1000.0
accuracy,0.4867,0.4867,0.4867,0.4867
macro avg,0.49454157730328374,0.4867,0.48832610997183934,10000.0
weighted avg,0.4945415773032837,0.4867,0.4883261099718393,10000.0
