,precision,recall,f1-score,support
AMAZON,0.2871747211895911,0.309,0.2976878612716763,1000.0
GMAIL,0.4028384279475983,0.369,0.38517745302713985,1000.0
GOOGLE,0.206858407079646,0.187,0.19642857142857142,1000.0
HTTP,0.5647619047619048,0.593,0.5785365853658536,1000.0
HTTP_CONNECT,0.3235014272121789,0.34,0.3315455875182838,1000.0
HTTP_PROXY,0.2829006266786034,0.316,0.29853566367501183,1000.0
MICROSOFT,0.17901234567901234,0.145,0.16022099447513813,1000.0
SSL,0.29274193548387095,0.363,0.32410714285714287,1000.0
WINDOWS_UPDATE,0.4221105527638191,0.42,0.42105263157894735,1000.0
YOUTUBE,0.19976218787158145,0.168,0.18250950570342206,1000.0
accuracy,0.321,0.321,0.321,0.321
macro avg,0.31616625366678064,0.321,0.31758019969011875,10000.0
weighted avg,0.3161662536667807,0.321,0.31758019969011875,10000.0
