,precision,recall,f1-score,support
AMAZON,0.5263157894736842,0.51,0.5180294565769427,1000.0
GMAIL,0.7954545454545454,0.77,0.782520325203252,1000.0
GOOGLE,0.40709219858156026,0.287,0.3366568914956012,1000.0
HTTP,0.7637426900584795,0.653,0.7040431266846361,1000.0
HTTP_CONNECT,0.36081835089894604,0.582,0.4454649827784156,1000.0
HTTP_PROXY,0.3289036544850498,0.396,0.35934664246823955,1000.0
MICROSOFT,0.5013927576601671,0.36,0.4190919674039581,1000.0
SSL,0.4617760617760618,0.598,0.5211328976034858,1000.0
WINDOWS_UPDATE,0.5904669260700389,0.607,0.5986193293885601,1000.0
YOUTUBE,0.36589147286821705,0.236,0.28693009118541035,1000.0
accuracy,0.4999,0.4999,0.4999,0.4999
macro avg,0.5101854447326749,0.49989999999999996,0.49718357107885014,10000.0
weighted avg,0.5101854447326749,0.4999,0.4971835710788502,10000.0
